Base,Fold,Run,Partitions
birds,0,0,7
birds,0,1,3
birds,0,2,6
birds,0,3,5
birds,0,4,8
birds,1,0,11
birds,1,1,7
birds,1,2,4
birds,1,3,2
birds,1,4,7
birds,2,0,10
birds,2,1,18
birds,2,2,8
birds,2,3,9
birds,2,4,10
birds,3,0,6
birds,3,1,4
birds,3,2,8
birds,3,3,6
birds,3,4,7
birds,4,0,11
birds,4,1,7
birds,4,2,8
birds,4,3,6
birds,4,4,8
birds,5,0,4
birds,5,1,10
birds,5,2,10
birds,5,3,6
birds,5,4,4
birds,6,0,9
birds,6,1,5
birds,6,2,2
birds,6,3,1
birds,6,4,1
birds,7,0,1
birds,7,1,1
birds,7,2,3
birds,7,3,3
birds,7,4,1
birds,8,0,7
birds,8,1,12
birds,8,2,11
birds,8,3,12
birds,8,4,8
birds,9,0,8
birds,9,1,8
birds,9,2,9
birds,9,3,9
birds,9,4,9
emotions,0,0,1
emotions,0,1,1
emotions,0,2,1
emotions,0,3,1
emotions,0,4,1
emotions,1,0,3
emotions,1,1,3
emotions,1,2,3
emotions,1,3,3
emotions,1,4,3
emotions,2,0,2
emotions,2,1,2
emotions,2,2,2
emotions,2,3,2
emotions,2,4,2
emotions,3,0,4
emotions,3,1,4
emotions,3,2,4
emotions,3,3,4
emotions,3,4,4
emotions,4,0,2
emotions,4,1,2
emotions,4,2,2
emotions,4,3,2
emotions,4,4,2
emotions,5,0,2
emotions,5,1,2
emotions,5,2,2
emotions,5,3,2
emotions,5,4,2
emotions,6,0,2
emotions,6,1,2
emotions,6,2,2
emotions,6,3,2
emotions,6,4,2
emotions,7,0,3
emotions,7,1,3
emotions,7,2,3
emotions,7,3,3
emotions,7,4,3
emotions,8,0,3
emotions,8,1,3
emotions,8,2,3
emotions,8,3,3
emotions,8,4,3
emotions,9,0,3
emotions,9,1,3
emotions,9,2,3
emotions,9,3,3
emotions,9,4,3
flags,0,0,5
flags,0,1,5
flags,0,2,5
flags,0,3,5
flags,0,4,5
flags,1,0,3
flags,1,1,3
flags,1,2,3
flags,1,3,3
flags,1,4,3
flags,2,0,2
flags,2,1,2
flags,2,2,5
flags,2,3,2
flags,2,4,2
flags,3,0,3
flags,3,1,3
flags,3,2,3
flags,3,3,3
flags,3,4,3
flags,4,0,2
flags,4,1,2
flags,4,2,2
flags,4,3,2
flags,4,4,2
flags,5,0,3
flags,5,1,3
flags,5,2,3
flags,5,3,3
flags,5,4,3
flags,6,0,3
flags,6,1,3
flags,6,2,3
flags,6,3,3
flags,6,4,3
flags,7,0,4
flags,7,1,4
flags,7,2,4
flags,7,3,4
flags,7,4,4
flags,8,0,5
flags,8,1,5
flags,8,2,5
flags,8,3,5
flags,8,4,5
flags,9,0,5
flags,9,1,5
flags,9,2,5
flags,9,3,5
flags,9,4,5
yeast,0,0,7
yeast,0,1,5
yeast,0,2,6
yeast,0,3,6
yeast,0,4,8
yeast,1,0,5
yeast,1,1,2
yeast,1,2,6
yeast,1,3,7
yeast,1,4,5
yeast,2,0,6
yeast,2,1,4
yeast,2,2,6
yeast,2,3,6
yeast,2,4,3
yeast,3,0,5
yeast,3,1,5
yeast,3,2,7
yeast,3,3,7
yeast,3,4,6
yeast,4,0,4
yeast,4,1,7
yeast,4,2,7
yeast,4,3,10
yeast,4,4,6
yeast,5,0,5
yeast,5,1,4
yeast,5,2,5
yeast,5,3,2
yeast,5,4,1
yeast,6,0,6
yeast,6,1,6
yeast,6,2,6
yeast,6,3,5
yeast,6,4,5
yeast,7,0,8
yeast,7,1,6
yeast,7,2,6
yeast,7,3,8
yeast,7,4,7
yeast,8,0,3
yeast,8,1,3
yeast,8,2,2
yeast,8,3,5
yeast,8,4,4
yeast,9,0,6
yeast,9,1,5
yeast,9,2,5
yeast,9,3,7
yeast,9,4,6
corel5k,0,0,206
corel5k,1,0,210
corel5k,2,0,94
corel5k,3,0,201
corel5k,4,0,372
corel5k,5,0,45
corel5k,6,0,218
corel5k,7,0,206
corel5k,8,0,110
corel5k,9,0,212
genbase,0,0,15
genbase,1,0,27
genbase,2,0,13
genbase,3,0,14
genbase,4,0,10
genbase,5,0,1
genbase,6,0,1
genbase,7,0,1
genbase,8,0,16
genbase,9,0,7
mediamill,0,0,1
mediamill,1,0,1
mediamill,2,0,1
mediamill,3,0,1
mediamill,4,0,1
mediamill,5,0,1
mediamill,6,0,1
mediamill,7,0,1
mediamill,8,0,1
mediamill,9,0,1